method,corruption,severity,accuracy,mean_entropy,update_ratio
source_only,gaussian_noise,1,0.7816,0.2896849513053894,0.0
bn_adapt,gaussian_noise,1,0.8375,0.2658250033855438,1.0
tent,gaussian_noise,1,0.8407,0.25577518343925476,1.0
ug_tent,gaussian_noise,1,0.8411,0.2562209367752075,0.8648
eg_mix_batch,gaussian_noise,1,0.8455,0.26084765791893005,0.5111395120620728
eg_mix_sample,gaussian_noise,1,0.841,0.18668240308761597,0.5114320516586304
disagree_aware_mix,gaussian_noise,1,0.8391,0.2188187539577484,0.7804035544395447
probe_commit_tent,gaussian_noise,1,0.7895,0.2806019186973572,0.17721518987341772
probe_commit_tent_loose,gaussian_noise,1,0.8284,0.2554783821105957,0.810126582278481
source_mix_tent_075,gaussian_noise,1,0.8509,0.2559863030910492,1.0
source_only,gaussian_noise,2,0.5916,0.4173697829246521,0.0
bn_adapt,gaussian_noise,2,0.7837,0.3160887360572815,1.0
tent,gaussian_noise,2,0.7868,0.3049936890602112,1.0
ug_tent,gaussian_noise,2,0.7872,0.3056866228580475,0.8338
eg_mix_batch,gaussian_noise,2,0.7793,0.3441133201122284,0.598914623260498
eg_mix_sample,gaussian_noise,2,0.7585,0.2316616177558899,0.5605596899986267
disagree_aware_mix,gaussian_noise,2,0.7565,0.25513336062431335,0.7311296463012695
probe_commit_tent,gaussian_noise,2,0.5916,0.4173697829246521,0.0
probe_commit_tent_loose,gaussian_noise,2,0.6035,0.40914931893348694,0.06329113924050633
source_mix_tent_075,gaussian_noise,2,0.7933,0.3279852271080017,1.0
source_only,gaussian_noise,3,0.4014,0.4967957139015198,0.0
bn_adapt,gaussian_noise,3,0.7387,0.35782933235168457,1.0
tent,gaussian_noise,3,0.7416,0.3460812568664551,1.0
ug_tent,gaussian_noise,3,0.7414,0.34683316946029663,0.8118
eg_mix_batch,gaussian_noise,3,0.7178,0.42405614256858826,0.6379144787788391
eg_mix_sample,gaussian_noise,3,0.6807,0.28242841362953186,0.5825312733650208
disagree_aware_mix,gaussian_noise,3,0.6766,0.29662519693374634,0.6828145384788513
probe_commit_tent,gaussian_noise,3,0.4014,0.4967957139015198,0.0
probe_commit_tent_loose,gaussian_noise,3,0.4014,0.4967957139015198,0.0
source_mix_tent_075,gaussian_noise,3,0.7343,0.39499008655548096,1.0
source_only,gaussian_noise,4,0.3272,0.5216315388679504,0.0
bn_adapt,gaussian_noise,4,0.7055,0.3812893331050873,1.0
tent,gaussian_noise,4,0.7098,0.36794039607048035,1.0
ug_tent,gaussian_noise,4,0.7101,0.36891236901283264,0.8031
eg_mix_batch,gaussian_noise,4,0.6842,0.46605533361434937,0.6417456269264221
eg_mix_sample,gaussian_noise,4,0.641,0.3117677867412567,0.5839682221412659
disagree_aware_mix,gaussian_noise,4,0.6356,0.32143911719322205,0.6653926372528076
probe_commit_tent,gaussian_noise,4,0.3272,0.5216315388679504,0.0
probe_commit_tent_loose,gaussian_noise,4,0.3272,0.5216315388679504,0.0
source_mix_tent_075,gaussian_noise,4,0.704,0.4303235709667206,1.0
source_only,gaussian_noise,5,0.2706,0.5418016910552979,0.0
bn_adapt,gaussian_noise,5,0.682,0.4049449563026428,1.0
tent,gaussian_noise,5,0.6868,0.3919287621974945,1.0
ug_tent,gaussian_noise,5,0.6863,0.3926537334918976,0.782
eg_mix_batch,gaussian_noise,5,0.6542,0.5107542872428894,0.6373866200447083
eg_mix_sample,gaussian_noise,5,0.6101,0.33617955446243286,0.5824916958808899
disagree_aware_mix,gaussian_noise,5,0.6036,0.3433746099472046,0.6453173756599426
probe_commit_tent,gaussian_noise,5,0.2706,0.5418016910552979,0.0
probe_commit_tent_loose,gaussian_noise,5,0.2706,0.5418016910552979,0.0
source_mix_tent_075,gaussian_noise,5,0.6773,0.46734368801116943,1.0
source_only,shot_noise,1,0.8428,0.22714447975158691,0.0
bn_adapt,shot_noise,1,0.8533,0.2417859137058258,1.0
tent,shot_noise,1,0.8556,0.232476606965065,1.0
ug_tent,shot_noise,1,0.8556,0.23275244235992432,0.8821
eg_mix_batch,shot_noise,1,0.8708,0.2174866944551468,0.46752122044563293
eg_mix_sample,shot_noise,1,0.8714,0.16342858970165253,0.4833959937095642
disagree_aware_mix,shot_noise,1,0.8714,0.19887398183345795,0.7981321811676025
probe_commit_tent,shot_noise,1,0.8426,0.2259213626384735,0.02531645569620253
probe_commit_tent_loose,shot_noise,1,0.8469,0.22225719690322876,0.3037974683544304
source_mix_tent_075,shot_noise,1,0.8685,0.22297507524490356,1.0
source_only,shot_noise,2,0.7544,0.304805189371109,0.0
bn_adapt,shot_noise,2,0.8294,0.2705366015434265,1.0
tent,shot_noise,2,0.833,0.2600840926170349,1.0
ug_tent,shot_noise,2,0.8333,0.2604347765445709,0.8615
eg_mix_batch,shot_noise,2,0.8371,0.2677660286426544,0.5222728848457336
eg_mix_sample,shot_noise,2,0.8339,0.1854381114244461,0.5167955160140991
disagree_aware_mix,shot_noise,2,0.8319,0.2174539864063263,0.7725588083267212
probe_commit_tent,shot_noise,2,0.7611,0.2982217073440552,0.0759493670886076
probe_commit_tent_loose,shot_noise,2,0.8149,0.2650611400604248,0.759493670886076
source_mix_tent_075,shot_noise,2,0.8449,0.2621725797653198,1.0
source_only,shot_noise,3,0.5287,0.44840487837791443,0.0
bn_adapt,shot_noise,3,0.7675,0.3285301923751831,1.0
tent,shot_noise,3,0.7712,0.3161335587501526,1.0
ug_tent,shot_noise,3,0.7716,0.3168770372867584,0.8307
eg_mix_batch,shot_noise,3,0.7625,0.3688719868659973,0.6197963356971741
eg_mix_sample,shot_noise,3,0.7385,0.24723491072654724,0.5717309713363647
disagree_aware_mix,shot_noise,3,0.7342,0.2694544494152069,0.719248354434967
probe_commit_tent,shot_noise,3,0.5287,0.44840487837791443,0.0
probe_commit_tent_loose,shot_noise,3,0.5342,0.4445038437843323,0.0379746835443038
source_mix_tent_075,shot_noise,3,0.7769,0.346577525138855,1.0
source_only,shot_noise,4,0.441,0.5018166303634644,0.0
bn_adapt,shot_noise,4,0.7377,0.35113734006881714,1.0
tent,shot_noise,4,0.742,0.3390674293041229,1.0
ug_tent,shot_noise,4,0.7416,0.3394671678543091,0.8122
eg_mix_batch,shot_noise,4,0.7311,0.41140225529670715,0.6504000425338745
eg_mix_sample,shot_noise,4,0.7006,0.27719372510910034,0.5879849791526794
disagree_aware_mix,shot_noise,4,0.6955,0.2912750840187073,0.6983143091201782
probe_commit_tent,shot_noise,4,0.441,0.5018166303634644,0.0
probe_commit_tent_loose,shot_noise,4,0.441,0.5018166303634644,0.0
source_mix_tent_075,shot_noise,4,0.7446,0.3869655728340149,1.0
source_only,shot_noise,5,0.3221,0.5568898916244507,0.0
bn_adapt,shot_noise,5,0.6977,0.38816192746162415,1.0
tent,shot_noise,5,0.7004,0.37518006563186646,1.0
ug_tent,shot_noise,5,0.7008,0.376127690076828,0.796
eg_mix_batch,shot_noise,5,0.6811,0.4761802852153778,0.6693223118782043
eg_mix_sample,shot_noise,5,0.6385,0.3270252048969269,0.5983147621154785
disagree_aware_mix,shot_noise,5,0.632,0.3356325626373291,0.6719663143157959
probe_commit_tent,shot_noise,5,0.3221,0.5568898916244507,0.0
probe_commit_tent_loose,shot_noise,5,0.3221,0.5568898916244507,0.0
source_mix_tent_075,shot_noise,5,0.694,0.44849252700805664,1.0
source_only,motion_blur,1,0.8387,0.2451905459165573,0.0
bn_adapt,motion_blur,1,0.8726,0.22607101500034332,1.0
tent,motion_blur,1,0.8743,0.21822917461395264,1.0
ug_tent,motion_blur,1,0.8739,0.21891850233078003,0.8867
