method,corruption,severity,accuracy,source_accuracy,delta_vs_source,update_ratio
bn_adapt,brightness,1,0.8942,0.9068,-0.012600000000000056,1.0
bn_adapt,fog,1,0.893,0.905,-0.01200000000000001,1.0
tent,brightness,1,0.895,0.9068,-0.011800000000000033,1.0
ug_tent,brightness,1,0.895,0.9068,-0.011800000000000033,0.9029
ug_tent,fog,1,0.8937,0.905,-0.011299999999999977,0.8975
tent,fog,1,0.894,0.905,-0.01100000000000001,1.0
bn_adapt,brightness,2,0.8913,0.9009,-0.009600000000000053,1.0
tent,brightness,2,0.8923,0.9009,-0.008600000000000052,1.0
ug_tent,brightness,2,0.8925,0.9009,-0.008400000000000074,0.9013
bn_adapt,brightness,3,0.8863,0.8933,-0.007000000000000006,1.0
tent,brightness,3,0.887,0.8933,-0.006299999999999972,1.0
ug_tent,brightness,3,0.8872,0.8933,-0.006099999999999994,0.8986
source_mix_tent_075,brightness,1,0.903,0.9068,-0.0038000000000000256,1.0
bn_adapt,brightness,4,0.8793,0.8825,-0.0031999999999999806,1.0
source_mix_tent_075,fog,1,0.9022,0.905,-0.0028000000000000247,1.0
tent,brightness,4,0.8807,0.8825,-0.0017999999999999128,1.0
ug_tent,brightness,4,0.8807,0.8825,-0.0017999999999999128,0.8957
source_mix_tent_075,brightness,2,0.9,0.9009,-0.0009000000000000119,1.0
probe_commit_tent,shot_noise,1,0.8426,0.8428,-0.00019999999999997797,0.0253164556962025
probe_commit_tent_loose,brightness,3,0.8931,0.8933,-0.00019999999999997797,0.0126582278481012
probe_commit_tent_loose,brightness,4,0.8824,0.8825,-9.999999999998899e-05,0.0126582278481012
