method,mean_accuracy,mean_entropy,mean_update_ratio,mean_delta_vs_source,mean_delta_vs_tent,negative_transfer_cases,worse_than_tent_cases
eg_mix_batch,0.8213280000000001,0.2903884881734848,0.5530289375782013,0.129688,-0.0005160000000000009,0,11
eg_mix_sample,0.8094199999999999,0.21025740206241605,0.529835125207901,0.11777999999999998,-0.012424000000000008,0,12
disagree_aware_mix,0.807724,0.23582362592220302,0.7671707582473755,0.11608399999999999,-0.014120000000000013,0,14
source_only,0.69164,0.3404508090019226,0.0,0.0,-0.13020400000000001,0,20
probe_commit_tent,0.696128,0.33463477790355683,0.07645569620253163,0.004488000000000003,-0.125716,1,20
probe_commit_tent_loose,0.7276600000000001,0.30278134644031524,0.3615189873417722,0.03602000000000001,-0.094184,2,19
source_mix_tent_075,0.8264159999999999,0.2828990668058395,1.0,0.134776,0.004571999999999998,3,6
ug_tent,0.821864,0.26788628458976743,0.8584440000000001,0.130224,1.9999999999993358e-05,5,10
tent,0.821844,0.267276890873909,1.0,0.13020400000000001,0.0,5,0
bn_adapt,0.819516,0.27731070876121516,1.0,0.127876,-0.0023280000000000054,5,25
